Name,Country,Position,Goals,Assists,Tackles,Saves,Club,League,League_Website
Danny Ward,Wales,GK,0,0,0,0,Leicester,Unknown,Unknown
Adam Davies,Wales,GK,0,0,0,0,Sheffield UnitedDefenders,Unknown,Unknown
Franco Armani,Wales,DF,0,0,0,0,River Plate,Unknown,Unknown
Emiliano Martinez,Wales,DF,0,0,0,0,Aston Villa,Unknown,Unknown
Geronimo Rulli,Wales,DF,0,0,0,0,Villarreal,Unknown,Unknown
Marcos Acuna,Wales,MF,0,0,0,0,Sevilla,Unknown,Unknown
Juan Foyth,Wales,MF,0,0,0,0,Villarreal,Unknown,Unknown
Lisandro Martinez,Wales,MF,0,0,0,0,Manchester United,Unknown,Unknown
Nahuel Molina,Wales,MF,0,0,0,0,Atletico Madrid,Unknown,Unknown
Gonzalo Montiel,Wales,MF,0,0,0,0,Sevilla,Unknown,Unknown
Nicolas Otamendi,Wales,MF,0,0,0,0,Benfica,Unknown,Unknown
German Pezzella,Wales,MF,0,0,0,0,Real Betis,Unknown,Unknown
Cristian Romero,Wales,MF,0,0,0,0,Tottenham,Unknown,Unknown
Nicolas Tagliafico,Wales,MF,0,0,0,0,Lyon,Unknown,Unknown
Rodrigo De Paul,Wales,FW,0,0,0,0,Atletico Madrid,Unknown,Unknown
Enzo Fernandez,Wales,FW,0,0,0,0,Benfica,Unknown,Unknown
Alejandro Gomez,Wales,FW,0,0,0,0,Sevilla,Unknown,Unknown
Alexis Mac Allister,Wales,FW,0,0,0,0,Brighton,Unknown,Unknown
Exequiel Palacios,Wales,FW,0,0,0,0,Bayer Leverkusen,Unknown,Unknown
Leandro Paredes,Wales,FW,0,0,0,0,Juventus,Unknown,Unknown
Guido Rodriquez,Wales,FW,0,0,0,0,Real Betis,Unknown,Unknown
Franco Armani,Argentina,GK,0,0,0,0,River Plate,Unknown,Unknown
Emiliano Martinez,Argentina,GK,0,0,0,0,Aston Villa,Unknown,Unknown
Geronimo Rulli,Argentina,GK,0,0,0,0,Villarreal,Unknown,Unknown
Marcos Acuna,Argentina,DF,0,0,0,0,Sevilla,Unknown,Unknown
Juan Foyth,Argentina,DF,0,0,0,0,Villarreal,Unknown,Unknown
Lisandro Martinez,Argentina,DF,0,0,0,0,Manchester United,Unknown,Unknown
Nahuel Molina,Argentina,DF,0,0,0,0,Atletico Madrid,Unknown,Unknown
Gonzalo Montiel,Argentina,DF,0,0,0,0,Sevilla,Unknown,Unknown
Nicolas Otamendi,Argentina,DF,0,0,0,0,Benfica,Unknown,Unknown
German Pezzella,Argentina,DF,0,0,0,0,Real Betis,Unknown,Unknown
Cristian Romero,Argentina,DF,0,0,0,0,Tottenham,Unknown,Unknown
Nicolas Tagliafico,Argentina,DF,0,0,0,0,Lyon,Unknown,Unknown
Rodrigo De Paul,Argentina,MF,0,0,0,0,Atletico Madrid,Unknown,Unknown
Enzo Fernandez,Argentina,MF,0,0,0,0,Benfica,Unknown,Unknown
Alejandro Gomez,Argentina,MF,0,0,0,0,Sevilla,Unknown,Unknown
Alexis Mac Allister,Argentina,MF,0,0,0,0,Brighton,Unknown,Unknown
Exequiel Palacios,Argentina,MF,0,0,0,0,Bayer Leverkusen,Unknown,Unknown
Leandro Paredes,Argentina,MF,0,0,0,0,Juventus,Unknown,Unknown
Guido Rodriquez,Argentina,MF,0,0,0,0,Real Betis,Unknown,Unknown
Julian Alvarez,Argentina,FW,0,0,0,0,Manchester City,Unknown,Unknown
Joaquin Correa,Argentina,FW,0,0,0,0,Inter Milan,Unknown,Unknown
Paulo Dybala,Argentina,FW,0,0,0,0,Roma,Unknown,Unknown
Angel Di Maria,Argentina,FW,0,0,0,0,Juventus,Unknown,Unknown
